说明：字符位置11-16为气压，19-23为高度，26-31为气温，34-38为湿度，48-50为风向，53-57为风速，
55 3419.001003.110   5000  26.710 73.509999.90 11710  8.110999  999.9  99999  9.999  
55 3419.00 303.212 965000 -29.610 11.409999.90 05110  7.310999  999.9  99999  9.999  
55 3419.00 301.112 970000 -30.110 12.309999.90 05410  7.110999  999.9  99999  9.999  
55 3419.00 299.012 975000 -30.610 12.809999.90 05610  7.310999  999.9  99999  9.999  
55 3419.00 296.912 980000 -31.110 13.409999.90 05810  7.310999  999.9  99999  9.999  
55 3419.00 294.812 985000 -31.610 14.009999.90 05810  7.410999  999.9  99999  9.999  
55 3419.00 292.712 990000 -32.010 14.409999.90 05610  7.710999  999.9  99999  9.999  
55 3419.00 290.712 995000 -32.510 14.809999.90 05810  8.410999  999.9  99999  9.999  
55 3419.00 288.6121000000 -32.810 14.709999.90 06110  9.010999  999.9  99999  9.999  
55 3419.00 286.6121005000 -33.110 14.709999.90 06010  9.810999  999.9  99999  9.999  
55 3419.00 284.6121010000 -33.710 15.009999.90 05910 10.910999  999.9  99999  9.999  
55 3419.00 282.6121015000 -34.010 15.209999.90 05910 11.910999  999.9  99999  9.999  
55 3419.00 280.6121020000 -34.210 15.209999.90 05810 12.410999  999.9  99999  9.999  
55 3419.00 278.6121025000 -34.510 14.909999.90 05610 13.010999  999.9  99999  9.999  
55 3419.00 276.6121030000 -34.710 14.209999.90 05710 12.910999  999.9  99999  9.999  
55 3419.00 274.6121035000 -35.110 13.809999.90 05910 12.210999  999.9  99999  9.999  
55 3419.00 272.7121040000 -35.510 13.909999.90 06210 11.110999  999.9  99999  9.999  
55 3419.00 270.7121045000 -35.710 13.709999.90 06610  9.910999  999.9  99999  9.999  
55 3419.00 268.8121050000 -36.010 13.609999.90 07010  9.110999  999.9  99999  9.999  
55 3419.00 266.9121055000 -36.410 13.609999.90 07410  8.810999  999.9  99999  9.999  
55 3419.00 265.0121060000 -36.910 13.509999.90 07610  8.910999  999.9  99999  9.999  
55 3419.00 263.1121065000 -37.310 13.509999.90 07610  8.710999  999.9  99999  9.999  
55 3419.00 261.2121070000 -37.810 13.609999.90 07610  8.110999  999.9  99999  9.999  
55 3419.00 259.3121075000 -38.310 13.609999.90 07510  6.910999  999.9  99999  9.999  
55 3419.00 257.4121080000 -38.710 13.709999.90 07610  6.010999  999.9  99999  9.999  
55 3419.00 255.6121085000 -39.110 13.809999.90 07910  5.410999  999.9  99999  9.999  
55 3419.00 253.7121090000 -39.610 14.009999.90 08110  5.210999  999.9  99999  9.999  
55 3419.00 251.9121095000 -40.010 14.309999.90 08310  5.510999  999.9  99999  9.999  
55 3419.00 250.1121100000 -40.510 14.509999.90 08610  6.210999  999.9  99999  9.999  
55 3419.00 248.2121105000 -40.910 14.709999.90 08510  6.410999  999.9  99999  9.999  
55 3419.00 246.4121110000 -41.410 14.909999.90 08510  6.710999  999.9  99999  9.999  
55 3419.00 244.6121115000 -41.810 15.209999.90 08910  6.810999  999.9  99999  9.999  
